variable,spend_multiplier,draw_n,spend_q05,spend_q50,spend_q95,contribution_q05,contribution_q50,contribution_q95,contribution_vs_current_q05,contribution_vs_current_q50,contribution_vs_current_q95,roi_q05,roi_q50,roi_q95,mroi_q05,mroi_q50,mroi_q95,cost_per_kpi_q05,cost_per_kpi_q50,cost_per_kpi_q95,value_per_cost_q05,value_per_cost_q50,value_per_cost_q95
display,0,12,0,0,0,0,0,0,-10258.1450024305,-7861.91106725404,-5858.93434071514,,,,0.180461811716368,0.240847429643663,0.311611239190503,,,,,,
display,0.05,12,2195.46174169713,2195.46174169713,2195.46174169713,396.197003460638,528.771317368753,684.130553925583,-9574.01444850496,-7333.13974988528,-5462.7373372545,0.180461811716368,0.240847429643663,0.311611239190503,0.190284463714404,0.223781878359566,0.316117135668782,3.20912686781702,4.15200696071088,5.54133858287813,5.41385435149105,7.22542288930988,9.34833717571509
display,0.1,12,4390.92348339426,4390.92348339426,4390.92348339426,813.959263584967,1024.55203437511,1378.15363118127,-8879.99137124927,-6823.8439240067,-5044.97507713017,0.185373137715386,0.233334067024805,0.313864187429642,0.148929405249465,0.243801551965773,0.275933157125069,3.18609143715757,4.28587035165543,5.3945248611768,5.56119413146158,7.00002201074413,9.41592562288927
display,0.15,12,6586.3852250914,6586.3852250914,6586.3852250914,1140.92807502387,1558.05559606078,1983.95432091507,-8274.19068151548,-6285.69337717705,-4718.00626569127,0.173225226893412,0.23655701007667,0.301220510661451,0.154678972009919,0.218991205155523,0.314753759907689,3.319827052295,4.2276241749566,5.77283123211213,5.19675680680236,7.09671030230011,9.03661531984353
display,0.2,12,8781.84696678853,8781.84696678853,8781.84696678853,1480.51984031669,2041.26638727722,2665.58924478492,-7592.55575764563,-5836.7785239087,-4378.41450039845,0.168588663172539,0.232441580341464,0.303534012248873,0.131519379161495,0.210061869931466,0.291453955012767,3.29452370952117,4.3022161842137,5.93159694834622,5.05765989517616,6.97324741024392,9.10602036746618
display,0.25,12,10977.3087084857,10977.3087084857,10977.3087084857,1801.42906888354,2487.01611172745,3190.80319017389,-7067.34181225666,-5350.91776046951,-4057.5052718316,0.164104801707089,0.226559731330589,0.290672629777401,0.145567292366657,0.224232742258807,0.26643457184479,3.44029639380154,4.41386118156124,6.09366691039854,4.92314405121266,6.79679193991767,8.72017889332201
display,0.3,12,13172.7704501828,13172.7704501828,13172.7704501828,2178.78035919726,2950.88402328602,3775.75009932458,-6482.39490310596,-4925.57300913854,-3680.15398151788,0.165400313277836,0.224013925881861,0.286632953455299,0.0939422143239112,0.204531454673465,0.286020442112562,3.48878238857471,4.46432029940035,6.04593776264632,4.96200939833508,6.72041777645584,8.59898860365896
display,0.35,12,15368.2321918799,15368.2321918799,15368.2321918799,2385.02689667572,3402.94035131501,4403.69703732601,-5854.44796510454,-4430.07638669951,-3473.90744403942,0.155192013427276,0.221426922031606,0.286545451834908,0.153280621814787,0.175309547255046,0.254085207274369,3.48984774874789,4.51678544883504,6.44363055750037,4.65576040281827,6.64280766094818,8.59636355504723
display,0.4,12,17563.6939335771,17563.6939335771,17563.6939335771,2875.72584799986,3774.68408183725,4961.53138902807,-5296.61361340247,-4052.56885590888,-2983.20849271528,0.163731266262973,0.214914020712982,0.282487921264841,0.100327643897285,0.196386760175388,0.347823205733708,3.53997436606315,4.65441610521078,6.10756896238667,4.91193798788918,6.44742062138946,8.47463763794522
display,0.45,12,19759.1556752742,19759.1556752742,19759.1556752742,3220.34891128732,4254.78147609702,5725.16393009088,-4644.58084229517,-3568.56718890845,-2638.58542942782,0.162980087014403,0.215332150119212,0.289747397316937,0.0323741742277649,0.169470368335613,0.373709043674899,3.45128207970117,4.64399538403586,6.13571889866293,4.88940261043209,6.45996450357636,8.69242191950811
display,0.5,12,21954.6174169713,21954.6174169713,21954.6174169713,3291.42517222342,4703.81074299278,6085.00088984043,-4207.25740506166,-3149.08481386986,-2567.50916849172,0.149919495735739,0.2142515468913,0.277162693126076,0.05651191414736,0.208590751285374,0.319898570866744,3.60798918758203,4.67312557426187,6.67024655527581,4.49758487207217,6.427546406739,8.31488079378229
display,0.55,12,24150.0791586685,24150.0791586685,24150.0791586685,3884.28935460958,4980.57813470615,6523.19188159484,-3734.95312083571,-2831.17696465807,-1974.64498610556,0.160839611708492,0.206234443455992,0.270110579710187,0.0310689652012839,0.191638964201222,0.357962764454422,3.70218745623716,4.84896501782504,6.21737387561227,4.82518835125477,6.18703330367977,8.1033173913056
display,0.6,12,26345.5409003656,26345.5409003656,26345.5409003656,4040.31100202303,5360.44029705168,7005.8048500751,-3252.34015235544,-2532.76099081899,-1818.62333869211,0.153358438048504,0.20346670115159,0.265919947385779,0.0264512026556661,0.141044465356064,0.262636240578981,3.76053022659961,4.91489903305534,6.52067152433911,4.60075314145511,6.10400103454771,7.97759842157337
display,0.65,12,28541.0026420627,28541.0026420627,28541.0026420627,4210.30632467825,5714.92060590742,7325.31841304864,-2932.82658938191,-2143.34176447307,-1648.62801603689,0.14751781419456,0.20023545344847,0.256659463050988,0.0442386689895119,0.15469350071597,0.372896513296383,3.8962132473617,4.99451980810364,6.77884230768977,4.42553442583679,6.00706360345411,7.69978389152963
display,0.7,12,30736.4643837599,30736.4643837599,30736.4643837599,4529.61211144809,6050.56958770922,8143.9984416031,-2391.7084316129,-1806.48455677942,-1329.32222926705,0.147369328329168,0.19685314199333,0.264962109497087,0.0199522102246035,0.17346726601899,0.241964779120391,3.77412454142238,5.08480843745273,6.78567250959014,4.42107984987505,5.90559425979991,7.94886328491262
display,0.75,12,32931.926125457,32931.926125457,32931.926125457,4921.79504010643,6401.64787578474,8241.13356450715,-2017.01143792339,-1510.21362577585,-937.139300608714,0.149453603817658,0.194390326620955,0.250247541947952,-0.00137791077053453,0.175891927552928,0.383065443273187,3.99604324668246,5.14666468277908,6.69103972373967,4.48360811452974,5.83170979862865,7.50742625843856
display,0.8,12,35127.3878671541,35127.3878671541,35127.3878671541,4918.76988972624,6607.20752411652,9082.13908977969,-1520.26762139705,-1116.2291257933,-901.875571457158,0.140026634155896,0.188092765368831,0.258548660780779,0.0561920069784302,0.15892840138854,0.4194878307266,3.86774387838694,5.31666414708759,7.14149851582285,4.20079902467688,5.64278296106492,7.75645982342338
display,0.85,12,37322.8496088512,37322.8496088512,37322.8496088512,5251.82316852495,7116.99588416495,9552.33895819551,-1097.14519815887,-735.062591765165,-501.443192066885,0.140713349156476,0.19068736601712,0.255938093106646,0.0013748248489361,0.153283565542467,0.348950140284496,3.90719485271508,5.24435782239243,7.10664628476703,4.22140047469429,5.72062098051361,7.67814279319937
display,0.9,12,39518.3113505484,39518.3113505484,39518.3113505484,5733.39712124902,7453.52408794436,9728.43524785171,-851.483816479629,-408.386979309671,-125.537219466117,0.14508203729635,0.188609377101862,0.246175378334244,-0.0365199639509603,0.114994488081738,0.322985214900584,4.06214466599601,5.30233567678073,6.89265203767,4.35246111889049,5.65828131305585,7.38526135002733
display,0.95,12,41713.7730922455,41713.7730922455,41713.7730922455,5717.77659793515,7708.28065895432,9863.69524472558,-489.046934092734,-163.108888035844,183.657830502783,0.137071671394743,0.184789820904196,0.236461353493799,-0.0836533960099017,0.0742936599340398,0.222753566962499,4.22902087476305,5.41186892570706,7.29545346478027,4.11215014184229,5.54369462712588,7.09384060481396
display,1,12,43909.2348339426,43909.2348339426,43909.2348339426,5858.93434071514,7861.91106725403,10258.1450024305,0,0,0,0.133432849897582,0.179049147565118,0.233621584188955,0.0696226656301309,0.133657465436609,0.263281145132104,4.28042641467233,5.58571948941901,7.49440636820366,4.00298549692745,5.37147442695355,7.00864752566866
display,1.05,12,46104.6965756398,46104.6965756398,46104.6965756398,6164.02163150331,8120.40730746199,10836.1686838783,152.853898745926,293.439851858284,578.023681447745,0.133696176080252,0.176129720193247,0.235033944233867,0.0134068392363835,0.101234163617223,0.336720609183166,4.25470458430874,5.67787273382563,7.47964548664239,4.01088528240755,5.28389160579741,7.05101832701602
display,1.1,12,48300.1583173369,48300.1583173369,48300.1583173369,6193.45583412387,8414.84354219822,11218.9340119508,322.833318227564,474.99185236737,1021.049628031,0.128228478950985,0.174219792136329,0.232275305149961,0.00926164642989088,0.11381579887377,0.299118283104205,4.30523597570729,5.73988422469933,7.79857959932792,3.84685436852955,5.22659376408987,6.96825915449882
display,1.15,12,50495.620059034,50495.620059034,50495.620059034,6382.18634282252,8937.09411650137,11492.0760961241,511.370186336095,891.857504313776,1233.93109369354,0.12639088965263,0.176987511115877,0.22758560213121,-0.096113440016739,0.118994169004992,0.286983306654837,4.39395106999549,5.65030534245922,7.91196266398928,3.79172668957891,5.3096253334763,6.82756806393631
display,1.2,12,52691.0818007312,52691.0818007312,52691.0818007312,6642.89191120937,9086.52069925448,11772.6756263291,783.957570494228,1223.74028827582,1514.53062389852,0.126072414613381,0.172448930420867,0.223428239162964,-0.131943441295172,0.0686032496818404,0.191892001108468,4.47570998073623,5.79899283321469,7.93194929332194,3.78217243840144,5.173467912626,6.70284717488892
display,1.25,12,54886.5435424283,54886.5435424283,54886.5435424283,7008.94541965992,9224.56618225086,11920.588299094,1033.48018193219,1309.82248128402,1662.44329666345,0.127698794044881,0.168066079350034,0.217185990039237,-0.110727595241766,0.136567664613844,0.34959170055525,4.60434855774693,5.95043843939197,7.83092751563921,3.83096382134642,5.04198238050103,6.51557970117712
display,1.3,12,57082.0052841254,57082.0052841254,57082.0052841254,6917.14473288218,9785.82774417906,12504.1869275485,997.732365032641,1622.04750153943,2246.04192511791,0.121179077337107,0.171434547463253,0.219056546197158,-0.202514460165858,0.171942107499816,0.388593696145026,4.56503134628977,5.8331599541371,8.25224966202796,3.63537232011321,5.14303642389759,6.57169638591475
